IncidenceVerbs,IncidenceAdj,IncidenceNouns,IncidenceCon,IncidencePron,ContentIncidence,ContentDiversity,label
0.038,0.021,0.055,0.038,0.006,0.114,0.5728643216080402,Soft Rock
0.046,0.017,0.037,0.015,0.035,0.1,0.45045045045045046,Soft Rock
0.038,0.006,0.053,0.034,0.009,0.097,0.6381578947368421,Soft Rock
0.047,0.01,0.035,0.02,0.02,0.092,0.5714285714285714,Soft Rock
0.07,0.022,0.096,0.043,0.04,0.188,0.5136612021857924,Soft Rock
0.064,0.014,0.087,0.052,0.017,0.165,0.5305466237942122,Soft Rock
0.037,0.015,0.042,0.036,0.01,0.094,0.562874251497006,Soft Rock
0.035,0.016,0.049,0.047,0.011,0.1,0.5076142131979695,Soft Rock
0.067,0.04,0.055,0.055,0.031,0.162,0.5015479876160991,Soft Rock
0.038,0.014,0.032,0.035,0.009,0.084,0.48,Soft Rock
0.061,0.021,0.046,0.047,0.026,0.128,0.5039370078740157,Soft Rock
0.032,0.008,0.034,0.034,0.026,0.074,0.44047619047619047,Soft Rock
0.084,0.026,0.084,0.065,0.04,0.194,0.5388888888888889,Soft Rock
0.056,0.031,0.069,0.039,0.014,0.156,0.5591397849462365,Soft Rock
